Date,Open,High,Low,Close,Adj Close,Volume
2021-08-16,58.660000,58.919998,58.419998,58.544998,58.544998,11921
2021-08-17,58.880001,59.160000,58.821400,58.974998,58.974998,10529
2021-08-18,59.099998,59.119999,58.780079,58.910000,58.910000,15127
2021-08-19,58.110001,58.790001,57.860001,58.669998,58.669998,11393
2021-08-20,59.029999,59.570000,58.570000,59.320000,59.320000,6023
2021-08-23,59.549999,59.880001,59.370930,59.580002,59.580002,11636
2021-08-24,59.669998,59.990002,59.380001,59.639999,59.639999,18048
2021-08-25,59.930000,59.970001,59.410000,59.770000,59.770000,10909
2021-08-26,59.549999,59.830002,59.299999,59.555000,59.555000,6035
2021-08-27,59.650002,59.919998,59.494659,59.814999,59.814999,15611
2021-08-31,60.099998,60.369999,59.750000,60.029999,60.029999,11879
2021-09-01,60.180000,60.520000,59.669998,59.935001,59.935001,6256
2021-09-02,59.939999,60.200001,59.889999,59.919998,59.919998,8549
2021-09-03,59.970001,60.270000,59.619999,59.669998,59.669998,8297
2021-09-06,60.020000,60.169998,59.829140,60.014999,60.014999,7716
2021-09-07,59.660000,60.330002,59.660000,59.785000,59.785000,12544
2021-09-08,59.889999,60.160000,59.639999,59.805000,59.805000,4158
2021-09-09,59.509998,59.820000,59.169998,59.505001,59.505001,7453
2021-09-10,59.330002,59.610001,58.990681,59.060001,59.060001,15251
2021-09-13,59.270000,59.270000,59.177799,59.177799,59.177799,259
2021-09-14,58.630001,59.150002,58.630001,58.764999,58.764999,9970
2021-09-15,58.720001,59.099998,58.597260,58.759998,58.759998,2716
2021-09-16,59.180000,59.470001,58.939999,58.974998,58.974998,6512
2021-09-17,59.209999,59.509998,58.913780,58.930000,58.930000,6860
2021-09-20,58.529999,58.709999,58.080002,58.180000,58.180000,13016
2021-09-21,58.540001,58.770000,58.169998,58.365002,58.365002,12810
2021-09-22,58.549999,58.853680,58.450001,58.775002,58.775002,14314
2021-09-23,59.070000,59.259998,58.746052,59.150002,59.150002,18195
2021-09-24,59.080002,59.459999,58.995338,59.264999,59.264999,18015
2021-09-27,59.740002,60.000000,59.147900,59.209999,59.209999,8195
2021-09-28,59.150002,59.689999,58.799999,58.805000,58.805000,7778
2021-09-29,59.080002,59.639999,59.019100,59.279999,59.279999,11384
2021-09-30,59.660000,59.889999,58.925072,58.990002,58.990002,21477
2021-10-01,58.070000,58.369999,57.774261,58.215000,58.215000,15888
2021-10-04,58.500000,58.779999,57.500000,57.634998,57.634998,16419
2021-10-05,57.820000,58.480000,57.470001,58.360001,58.360001,15356
2021-10-06,58.080002,58.340000,57.650002,58.064999,58.064999,21992
2021-10-07,58.900002,59.369999,58.880001,59.259998,59.259998,12728
2021-10-08,59.160000,59.419998,58.840000,58.980000,58.980000,25037
2021-10-11,58.509998,59.380001,58.230000,59.060001,59.060001,12497
2021-10-12,58.130001,58.700001,58.000000,58.564999,58.564999,3935
2021-10-13,58.230000,58.650002,58.000000,58.145000,58.145000,18111
2021-10-14,58.490002,59.150002,58.290001,59.099998,59.099998,8498
2021-10-15,59.270000,59.459202,59.130001,59.279999,59.279999,15801
2021-10-18,59.330002,59.714802,59.049999,59.634998,59.634998,40472
2021-10-19,59.650002,59.849998,59.290001,59.759998,59.759998,19697
2021-10-20,59.799999,60.094799,59.799999,59.919998,59.919998,17081
2021-10-21,59.820000,60.040001,59.560001,59.895000,59.895000,10126
2021-10-22,60.430000,60.450001,60.094398,60.224998,60.224998,10983
2021-10-25,60.349998,60.650002,60.250000,60.490002,60.490002,17495
2021-10-26,60.730000,60.959999,60.320000,60.935001,60.935001,24456
2021-10-27,60.740002,60.990002,60.728802,60.889999,60.889999,10955
2021-10-28,60.509998,61.000000,60.448799,60.720001,60.720001,9104
2021-10-29,60.889999,61.360001,60.515900,61.419998,61.419998,14660
2021-11-01,61.759998,61.930000,60.515900,61.560001,61.560001,43380
2021-11-02,61.700001,62.200001,61.459999,62.119999,62.119999,16369
2021-11-03,62.090000,62.340000,61.770000,61.840000,61.840000,23749
2021-11-04,62.389999,63.350800,62.307201,63.205002,63.205002,34282
2021-11-05,63.310001,64.070000,63.029999,63.744999,63.744999,30703
2021-11-08,63.590000,63.881401,63.299999,63.400002,63.400002,24938
2021-11-09,63.220001,63.709999,63.040798,63.189999,63.189999,46610
2021-11-10,63.169998,63.580002,62.820000,63.384998,63.384998,26880
2021-11-11,63.560001,63.930000,63.390800,63.560001,63.560001,24629
2021-11-12,63.540001,63.883598,63.230000,63.755001,63.755001,15010
2021-11-15,63.820000,64.190002,63.500000,63.770000,63.770000,24647
2021-11-16,63.610001,64.139999,63.463902,64.110001,64.110001,31601
2021-11-17,63.930000,64.209999,63.544300,63.705002,63.705002,7855
2021-11-18,63.639999,64.019997,63.410580,63.619999,63.619999,20852
2021-11-19,64.029999,64.309998,63.666599,63.930000,63.930000,17027
2021-11-22,64.160004,64.830002,64.027000,64.474998,64.474998,25416
2021-11-23,64.059998,64.290001,63.625702,63.869999,63.869999,21578
2021-11-24,63.790001,64.410004,63.790001,64.349998,64.349998,21603
2021-11-25,64.730003,65.040001,64.542000,64.635002,64.635002,23192
2021-11-26,63.580002,63.919998,62.974300,63.110001,63.110001,34267
2021-11-29,63.709999,64.003403,63.389999,63.750000,63.750000,21400
2021-11-30,63.330002,63.720001,62.683300,63.320000,63.320000,18482
2021-12-01,63.310001,63.930000,63.114399,63.849998,63.849998,20288
2021-12-02,62.509998,62.849998,61.881199,62.570000,62.570000,32029
2021-12-03,62.880001,63.553799,62.500000,62.750000,62.750000,32287
2021-12-06,63.240002,63.439999,62.583500,63.235001,63.235001,33380
2021-12-07,63.750000,64.864998,63.750000,64.870003,64.870003,21144
2021-12-08,64.889999,65.449997,64.686203,64.764999,64.764999,24449
2021-12-09,65.129997,65.129997,64.788101,65.059998,65.059998,25778
2021-12-10,64.730003,65.285004,64.559998,64.779999,64.779999,27071
2021-12-13,65.250000,65.531998,64.578102,64.644997,64.644997,14581
2021-12-14,64.910004,65.169998,63.812920,63.910000,63.910000,11918
2021-12-15,64.099998,64.349998,63.896999,63.935001,63.935001,33989
2021-12-16,65.199997,65.516998,64.596001,64.730003,64.730003,29374
2021-12-17,64.220001,64.480003,63.433800,64.139999,64.139999,30050
2021-12-20,63.209999,63.450001,62.730000,62.799999,62.799999,45876
2021-12-21,63.650002,63.869999,63.361900,63.575001,63.575001,26087
2021-12-22,64.059998,64.330002,63.681900,64.260002,64.260002,36074
2021-12-23,64.360001,64.650002,64.139999,64.584999,64.584999,24645
2021-12-24,64.650002,64.889999,64.342003,64.565002,64.565002,22341
2021-12-29,65.400002,65.690002,64.882004,65.010002,65.010002,37718
2021-12-30,64.849998,65.342003,64.849998,65.125000,65.125000,29064
2021-12-31,64.750000,64.994621,64.656197,64.790001,64.790001,16485
2022-01-04,65.260002,65.400002,64.670799,64.764999,64.764999,43499
2022-01-05,64.750000,65.000000,64.559998,64.610001,64.610001,34692
2022-01-06,63.750000,64.028397,63.247398,63.625000,63.625000,52951
2022-01-07,63.630001,63.909401,62.962399,63.165001,63.165001,37333
2022-01-10,63.209999,63.459999,61.910000,62.230000,62.230000,41500
2022-01-11,62.860001,63.250000,62.527802,62.959999,62.959999,34167
2022-01-12,63.439999,63.768299,62.981689,63.125000,63.125000,23726
2022-01-13,63.020000,63.203400,62.810001,63.020000,63.020000,16715
2022-01-14,62.240002,62.554001,61.500000,62.009998,62.009998,20797
2022-01-17,62.389999,62.744900,62.326698,62.595001,62.595001,26676
2022-01-18,62.270000,62.549999,61.824902,61.895000,61.895000,49758
2022-01-19,61.320000,61.900002,61.000000,61.430000,61.430000,19250
2022-01-20,61.200001,61.750000,60.975399,61.674999,61.674999,24539
2022-01-21,60.500000,60.720001,59.784760,60.639999,60.639999,100095
2022-01-24,59.810001,60.000000,58.220749,58.349998,58.349998,77316
2022-01-25,59.189999,59.689999,58.340752,58.875000,58.875000,60138
2022-01-26,59.220001,60.360001,59.000000,59.919998,59.919998,52472
2022-01-27,58.869999,60.560001,58.639999,60.035000,60.035000,52325
2022-01-28,59.500000,59.779999,58.562901,59.549999,59.549999,22065
2022-01-31,60.500000,61.003700,60.173698,60.959999,60.959999,38460
2022-02-01,61.290001,61.540001,60.931599,61.189999,61.189999,47297
2022-02-02,61.840000,62.030800,61.434139,61.555000,61.555000,64384
2022-02-03,61.509998,61.641701,60.838501,60.939999,60.939999,37024
2022-02-04,60.980000,61.132401,60.289200,60.570000,60.570000,24131
2022-02-07,60.820000,61.263100,60.670799,60.990002,60.990002,16465
2022-02-08,60.750000,60.910000,60.320000,60.889999,60.889999,21514
2022-02-09,61.330002,61.955601,61.180000,61.855000,61.855000,19648
2022-02-10,62.040001,62.182800,61.285198,61.355000,61.355000,37712
2022-02-11,60.709999,61.035599,60.497200,60.544998,60.544998,11965
2022-02-14,59.930000,60.000000,59.152000,59.759998,59.759998,17795
2022-02-15,59.560001,60.610001,59.529999,60.400002,60.400002,20534
2022-02-16,60.330002,60.645599,59.879601,60.029999,60.029999,12203
2022-02-17,60.279999,60.330399,59.195999,59.529999,59.529999,11586
2022-02-18,59.290001,59.332802,58.706799,58.820000,58.820000,15174
2022-02-21,59.020000,59.040001,58.047199,58.029999,58.029999,20743
2022-02-22,57.709999,59.003201,57.630001,58.285000,58.285000,27778
2022-02-23,58.320000,58.640400,57.859600,57.855000,57.855000,13858
